date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:15:09	122924/122924	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Mar%202021%2010:36:18%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/blog/33.jpg	tunatheme.com/tf/html/broccoli-preview/broccoli/img/blog/33.jpg	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/blog.html)
17:15:19	22694/22694	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Mar%202021%2010:26:32%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/banner/banner-4.jpg	tunatheme.com/tf/html/broccoli-preview/broccoli/img/banner/banner-4.jpg	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/blog.html)
17:15:23	86079/86079	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Mar%202021%2010:34:18%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/blog/34.jpg	tunatheme.com/tf/html/broccoli-preview/broccoli/img/blog/34.jpg	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/blog.html)
17:15:43	98107/98107	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Mar%202021%2010:34:18%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/blog/35.jpg	tunatheme.com/tf/html/broccoli-preview/broccoli/img/blog/35.jpg	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/blog-details.html)
17:15:43	58654/58654	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Mar%202021%2010:34:18%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/blog/6.jpg	tunatheme.com/tf/html/broccoli-preview/broccoli/img/blog/6.jpg	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/blog-grid.html)
17:15:44	45505/45505	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Mar%202021%2010:36:54%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/blog/blog-details/1.jpg	tunatheme.com/tf/html/broccoli-preview/broccoli/img/blog/blog-details/1.jpg	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/blog-details.html)
17:15:49	66170/66170	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Mar%202021%2010:36:54%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/blog/blog-details/12.jpg	tunatheme.com/tf/html/broccoli-preview/broccoli/img/blog/blog-details/12.jpg	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/blog-details.html)
17:15:54	85390/85390	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Mar%202021%2010:57:04%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/testimonial/4.jpg	tunatheme.com/tf/html/broccoli-preview/broccoli/img/testimonial/4.jpg	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/blog-details.html)
17:16:05	155350/155350	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Mar%202021%2010:36:54%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/blog/blog-details/11.jpg	tunatheme.com/tf/html/broccoli-preview/broccoli/img/blog/blog-details/11.jpg	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/blog-details.html)
17:16:09	58654/58654	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Mar%202021%2010:41:48%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/img-slide/12.jpg	tunatheme.com/tf/html/broccoli-preview/broccoli/img/img-slide/12.jpg	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/history.html)
17:16:15	82851/82851	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Mar%202021%2010:41:48%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/img-slide/11.jpg	tunatheme.com/tf/html/broccoli-preview/broccoli/img/img-slide/11.jpg	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/history.html)
17:16:20	3728/3728	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Mar%202021%2000:35:06%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/icons/10.png	tunatheme.com/tf/html/broccoli-preview/broccoli/img/icons/10.png	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/contact.html)
17:16:26	4196/4196	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Mar%202021%2000:36:00%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/icons/11.png	tunatheme.com/tf/html/broccoli-preview/broccoli/img/icons/11.png	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/contact.html)
17:16:27	4400/4400	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Mar%202021%2000:37:14%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/icons/12.png	tunatheme.com/tf/html/broccoli-preview/broccoli/img/icons/12.png	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/contact.html)
17:16:28	105917/105917	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Mar%202021%2010:43:00%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/img/img-slide/13.jpg	tunatheme.com/tf/html/broccoli-preview/broccoli/img/img-slide/13.jpg	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/history.html)
17:16:30	1279/1279	---M--	200	added ('OK')	application/javascript	date:Tue,%2022%20Oct%202019%2004:09:00%20GMT	https://tunatheme.com/tf/html/broccoli-preview/broccoli/js/contact.js	tunatheme.com/tf/html/broccoli-preview/broccoli/js/contact.js	(from https://tunatheme.com/tf/html/broccoli-preview/broccoli/contact.html)
